MouseID,OmissionCount,AvgOmissionTrialNumber,LongResponseCount,AvgLongResponseTrialNumber,AvgLongResponseTime
215,10,62.3,15,109.866666666667,7.28533333333334
217,6,90.1666666666667,10,82.1,6.65600000000002
369,5,83.2,24,81.4583333333333,6.70250000000001
370,6,63.1666666666667,15,80.0666666666667,6.93133333333327
374,25,96.04,26,77.9230769230769,7.11153846153845
375,13,101.538461538462,30,87.6,7.6263333333333
426,4,10.75,29,77.1379310344828,7.00413793103447
433,19,88.2631578947368,20,67.3,6.85050000000001
501,5,104.8,27,91.1481481481482,7.32888888888892
506,5,103.6,24,83.5416666666667,7.29125000000002
