MouseID,Group,Sex,Task,TaskRepetition,omissions,HGF3_zeta,HGF3_wt,HGF3_omega2,HGF3_omega3,HGF3_sahat1,HGF3_sahat2,HGF3_sahat3,HGF3_epsi2,HGF3_epsi3,HGF2_zeta,HGF2_wt,HGF2_omega2,HGF2_sahat1,HGF2_sahat2,HGF2_sahat3,HGF2_epsi2,HGF2_epsi3,RW_zeta,RW_alpha
1.1,Control,Male,TrainingTask_RL,1,22,0.784556522985906,0.00898629056166465,-9.88144,1.67158546567038,0.225274701460551,0.0399971584201906,469.853524386006,-0.0013379207298954,11.2846467337353,0.779864634762243,0.0090024245584004,-9.896025,0.225252139592965,0.0400513910641412,583.484994509829,-0.00135370045412697,14.7049948593916,0.211027043156678,0.124128053949927
1.2,Control,Male,TrainingTask_RL,1,33,2.56108461936069,0.00736183031950533,-12.0407,1.89166911418597,0.225579298184809,0.0328844088388646,899.632202922996,-0.000305424861843293,33.8643377209274,2.56420073425668,0.00736056467390641,-12.0483,0.225578244845601,0.0328787802789722,998.754488688207,-0.000304577170254168,37.6137090371435,22.409031980235,0.00096233259578626
2.1,Control,Male,TrainingTask_RL,1,13,1.0561882668679,0.00786098032830521,-10.86678,1.79408353357344,0.225741718305752,0.0350437095101007,715.525095444578,-0.000660225061345286,23.0087934444489,1.05801482153437,0.00785311037246666,-10.88791,0.225737979398771,0.0350068080987651,852.435491819995,-0.000656280765478998,27.8327029827732,0.161015042774946,0.134092516997337
3.2,Control,Male,TrainingTask_RL,1,49,1.70582711504272,0.00747322995019431,-11.63853,1.86875800151348,0.225639893087211,0.0333652036855003,857.717230780761,-0.000387710390208279,30.9804457433526,1.70368724432291,0.00747354333758218,-11.64106,0.225639357525919,0.0333661093636254,969.810365315986,-0.000388189630469654,35.065410522955,11.2631594037468,0.001244073465
4.2,Control,Female,TrainingTask_RL,1,29,1.8197523741741,0.00798899546186467,-10.69566,1.66480573824566,0.22574342764708,0.0356019414974055,617.041551327031,-0.000744732982476138,19.0388516727603,1.81959327687761,0.00798440139204811,-10.71866,0.225737602199965,0.0355762782204747,811.831958128483,-0.000744477526716299,25.7664387882827,4.19789730798779,0.00336376440310706
5.4,Control,Female,TrainingTask_RL,1,63,0.18434555874125,0.0677838759414274,-3.653781,1.40779298402607,0.16879340980262,0.402376976332047,44.6978229859486,-0.0039081797981554,0.607327624839654,0.182157683082196,0.0589361842963318,-3.653565,0.1691350633129,0.34755763812948,71.4344047673436,-0.00392404062339938,1.21775700796351,0.153627127853595,0.171963716398664
1.1,Control,Male,TrainingTask_LL - Copy,1,21,0.259569429167783,0.0398347111889921,-5.329347,2.68224490815495,0.18577925840247,0.212545373100138,147.620061390613,0.0053510355644902,1.95106367461374,0.252688282603321,0.0450360538686958,-5.108609,0.183250379464838,0.245014542755499,86.4767970801558,0.00545729472860319,0.93520136318755,0.169786597474877,0.185376286551679
1.2,Control,Male,TrainingTask_LL - Copy,1,26,1.48557308175547,0.00778512911846037,-11.0596,1.88387626754462,0.229187199805779,0.0340520378643042,804.392134954665,0.000651224928232368,22.9922091378665,1.48409541893597,0.00778537330755206,-11.06304,0.229185781428398,0.0340522508989044,889.304515183083,0.000652276976338821,25.5485908153624,0.1953001357928,0.130027749898175
2.1,Control,Male,TrainingTask_LL - Copy,1,12,0.901728364429633,0.00959465048251972,-9.580479,1.82925939349459,0.228200795003394,0.0419849577184806,460.011307899064,0.00177096092090257,7.43870733622119,0.901528561724927,0.00960996359346514,-9.58248,0.228177664911252,0.0420443402417015,511.170608110028,0.00178615412926859,8.50502833188732,0.232460502749549,0.127179278237867
3.2,Control,Male,TrainingTask_LL - Copy,1,45,0.475009875806791,0.0202307654318096,-7.257822,2.48708207486976,0.209216547231126,0.0961658727518837,241.006475294344,0.00445753824534908,0.894153778592385,0.473995371330378,0.0202399410260071,-7.228243,0.209403187094865,0.0962938698357505,180.687264617331,0.00441144915282021,0.283402679917994,0.524601404010398,0.0181316763900663
