-105.165995027527,-105.579720722052,-110.762332646103,1
-125.940561182468,-126.021599021983,-130.972397859795,1
-107.904538615244,-108.029909343739,-113.146107927567,1
-121.019519491809,-120.956171635138,-125.263465327265,1
-112.506439284603,-111.984403055233,-116.25599386986,1
-103.877977545946,-104.116772352705,-108.708344900505,1
-118.614455644497,-118.895886047827,-121.065146108019,1
-110.614553306648,-110.725555958673,-115.424731959478,1
-126.924464764133,-127.171088563668,-129.586817741431,1
-125.84418172677,-125.917356499449,-129.059881600022,2
-134.022443685561,-134.014784736333,-136.330901389153,2
-118.247188887321,-118.229786975561,-122.534229591334,2
-105.239970842317,-105.444895079371,-111.410130713295,2
-122.392720036927,-120.383836480673,-125.169575767321,2
-120.553905473652,-120.582939541776,-125.026683752425,2
-122.215131604247,-122.353364378633,-127.928079660096,2
-125.240929519212,-125.386889989604,-130.578336694001,2
-127.481533526359,-127.599586625478,-132.697842601934,2
-129.259713943209,-129.224061121622,-133.223636646899,2
